t[us];I[A];U[V];P[W];calka
2032;36,61;3,425;125,39;62,7
2033;37,01;3,504;129,68;64,84
2034;36,61;3,465;126,85;63,42
2035;36,61;3,504;128,28;64,14
2036;36,61;3,504;128,28;64,14
2037;36,61;3,504;128,28;64,14
2038;36,61;3,504;128,28;64,14
2039;36,61;3,543;129,71;64,86
2040;36,61;3,504;128,28;64,14
2041;36,61;3,504;128,28;64,14
2042;36,61;3,504;128,28;64,14
2043;36,61;3,504;128,28;64,14
2044;36,61;3,504;128,28;64,14
2045;36,22;3,543;128,33;64,17
2046;36,61;3,504;128,28;64,14
2047;36,61;3,465;126,85;63,42
2048;36,61;3,504;128,28;64,14
2049;36,61;3,504;128,28;64,14
2050;36,61;3,504;128,28;64,14
2051;36,61;3,504;128,28;64,14
2052;36,61;3,504;128,28;64,14
2053;36,61;3,465;126,85;63,42
2054;36,61;3,543;129,71;64,86
2055;36,61;3,543;129,71;64,86
2056;36,61;3,504;128,28;64,14
2057;36,61;3,425;125,39;62,7
2058;36,61;3,504;128,28;64,14
2059;36,61;3,504;128,28;64,14
2060;36,22;3,543;128,33;64,17
2061;36,61;3,504;128,28;64,14
2062;36,61;3,425;125,39;62,7
2063;36,61;3,504;128,28;64,14
2064;36,61;3,543;129,71;64,86
2065;36,61;3,465;126,85;63,42
2066;36,61;3,504;128,28;64,14
2067;36,61;3,425;125,39;62,7
2068;36,61;3,504;128,28;64,14
2069;36,61;3,543;129,71;64,86
2070;36,22;3,543;128,33;64,17
2071;36,61;3,543;129,71;64,86
2072;36,61;3,504;128,28;64,14
2073;36,61;3,543;129,71;64,86
2074;36,61;3,543;129,71;64,86
2075;36,22;3,583;129,78;64,89
2076;36,22;3,543;128,33;64,17
2077;36,61;3,543;129,71;64,86
2078;36,61;3,504;128,28;64,14
2079;36,61;3,583;131,17;65,58
2080;36,22;3,504;126,91;63,46
2081;36,61;3,504;128,28;64,14
2082;36,61;3,504;128,28;64,14
2083;36,61;3,504;128,28;64,14
2084;36,61;3,543;129,71;64,86
2085;36,61;3,543;129,71;64,86
2086;36,61;3,504;128,28;64,14
2087;36,61;3,504;128,28;64,14
2088;36,61;3,504;128,28;64,14
2089;36,61;3,504;128,28;64,14
2090;36,61;3,543;129,71;64,86
2091;36,61;3,504;128,28;64,14
2092;36,61;3,465;126,85;63,42
2093;36,61;3,504;128,28;64,14
2094;36,61;3,504;128,28;64,14
2095;36,22;3,504;126,91;63,46
2096;36,61;3,543;129,71;64,86
2097;36,61;3,386;123,96;61,98
2098;36,61;3,504;128,28;64,14
2099;36,61;3,543;129,71;64,86
2100;36,22;3,425;124,05;62,02
2101;36,61;3,504;128,28;64,14
2102;36,61;3,504;128,28;64,14
2103;36,61;3,504;128,28;64,14
2104;36,61;3,543;129,71;64,86
2105;36,61;3,661;134,03;67,02
2106;36,61;3,504;128,28;64,14
2107;36,61;3,465;126,85;63,42
2108;36,61;3,504;128,28;64,14
2109;36,61;3,504;128,28;64,14
2110;36,22;3,425;124,05;62,02
2111;36,61;3,504;128,28;64,14
2112;36,61;3,425;125,39;62,7
2113;36,61;3,465;126,85;63,42
2114;36,61;3,504;128,28;64,14
2115;36,61;3,543;129,71;64,86
2116;36,61;3,504;128,28;64,14
2117;36,61;3,504;128,28;64,14
2118;36,61;3,504;128,28;64,14
2119;36,61;3,504;128,28;64,14
2120;36,61;3,583;131,17;65,58
2121;36,61;3,543;129,71;64,86
2122;36,61;3,504;128,28;64,14
2123;36,61;3,504;128,28;64,14
2124;36,61;3,543;129,71;64,86
2125;36,61;3,543;129,71;64,86
2126;36,61;3,543;129,71;64,86
2127;36,61;3,504;128,28;64,14
2128;36,61;3,504;128,28;64,14
2129;36,61;3,504;128,28;64,14
2130;36,61;3,543;129,71;64,86
2131;36,61;3,504;128,28;64,14
2132;36,61;3,583;131,17;65,58
2133;36,61;3,504;128,28;64,14
2134;36,61;3,504;128,28;64,14
2135;36,22;3,465;125,5;62,75
2136;36,61;3,543;129,71;64,86
2137;36,61;3,504;128,28;64,14
2138;36,61;3,504;128,28;64,14
2139;36,61;3,504;128,28;64,14
2140;36,61;3,543;129,71;64,86
2141;36,61;3,543;129,71;64,86
2142;36,61;3,543;129,71;64,86
2143;36,61;3,465;126,85;63,42
2144;36,61;3,504;128,28;64,14
2145;36,61;3,543;129,71;64,86
2146;36,22;3,543;128,33;64,17
2147;36,61;3,504;128,28;64,14
2148;36,61;3,504;128,28;64,14
2149;36,61;3,504;128,28;64,14
2150;36,22;3,583;129,78;64,89
2151;36,61;3,543;129,71;64,86
2152;36,61;3,504;128,28;64,14
2153;36,61;3,504;128,28;64,14
2154;36,61;3,543;129,71;64,86
2155;36,61;3,543;129,71;64,86
2156;36,61;3,504;128,28;64,14
2157;36,61;3,504;128,28;64,14
2158;36,61;3,504;128,28;64,14
2159;36,61;3,504;128,28;64,14
2160;36,61;3,543;129,71;64,86
2161;36,61;3,504;128,28;64,14
2162;36,61;3,504;128,28;64,14
2163;36,61;3,504;128,28;64,14
2164;36,61;3,504;128,28;64,14
2165;36,61;3,583;131,17;65,58
2166;36,61;3,543;129,71;64,86
2167;36,61;3,583;131,17;65,58
2168;36,61;3,543;129,71;64,86
2169;36,61;3,504;128,28;64,14
2170;36,22;3,504;126,91;63,46
2171;36,61;3,543;129,71;64,86
2172;36,61;3,543;129,71;64,86
2173;36,61;3,504;128,28;64,14
2174;36,61;3,543;129,71;64,86
2175;36,22;3,583;129,78;64,89
2176;36,61;3,543;129,71;64,86
2177;36,61;3,504;128,28;64,14
2178;36,61;3,504;128,28;64,14
2179;36,61;3,543;129,71;64,86
2180;36,61;3,543;129,71;64,86
2181;36,61;3,504;128,28;64,14
2182;36,61;3,504;128,28;64,14
2183;36,61;3,504;128,28;64,14
2184;36,61;3,543;129,71;64,86
2185;36,61;3,543;129,71;64,86
2186;36,61;3,543;129,71;64,86
2187;36,61;3,504;128,28;64,14
2188;36,61;3,504;128,28;64,14
2189;36,61;3,504;128,28;64,14
2190;36,61;3,543;129,71;64,86
2191;36,22;3,543;128,33;64,17
2192;36,61;3,504;128,28;64,14
2193;36,61;3,543;129,71;64,86
2194;37,01;3,504;129,68;64,84
2195;36,61;3,543;129,71;64,86
2196;36,61;3,543;129,71;64,86
2197;36,61;3,543;129,71;64,86
2198;36,61;3,543;129,71;64,86
2199;36,61;3,543;129,71;64,86
2200;36,61;3,543;129,71;64,86
2201;36,22;3,543;128,33;64,17
2202;36,61;3,543;129,71;64,86
2203;36,61;3,425;125,39;62,7
2204;36,61;3,504;128,28;64,14
2205;36,61;3,543;129,71;64,86
2206;36,61;3,543;129,71;64,86
2207;36,61;3,504;128,28;64,14
2208;36,61;3,543;129,71;64,86
2209;36,61;3,504;128,28;64,14
2210;36,61;3,504;128,28;64,14
2211;36,61;3,504;128,28;64,14
2212;36,61;3,504;128,28;64,14
2213;36,61;3,504;128,28;64,14
2214;36,61;3,504;128,28;64,14
2215;36,61;3,543;129,71;64,86
2216;36,22;3,543;128,33;64,17
2217;36,61;3,504;128,28;64,14
2218;36,61;3,504;128,28;64,14
2219;36,61;3,504;128,28;64,14
2220;36,61;3,504;128,28;64,14
2221;36,61;3,583;131,17;65,58
2222;36,61;3,504;128,28;64,14
2223;36,61;3,543;129,71;64,86
2224;36,61;3,543;129,71;64,86
2225;36,61;3,583;131,17;65,58
2226;36,61;3,543;129,71;64,86
2227;36,61;3,543;129,71;64,86
2228;36,61;3,583;131,17;65,58
2229;36,61;3,504;128,28;64,14
2230;36,61;3,583;131,17;65,58
2231;36,61;3,504;128,28;64,14
2232;36,61;3,543;129,71;64,86
2233;36,61;3,504;128,28;64,14
2234;36,61;3,543;129,71;64,86
2235;36,61;3,543;129,71;64,86
2236;36,61;3,583;131,17;65,58
2237;36,61;3,504;128,28;64,14
2238;37,01;3,504;129,68;64,84
2239;36,61;3,504;128,28;64,14
2240;36,61;3,543;129,71;64,86
2241;36,61;3,583;131,17;65,58
2242;36,61;3,504;128,28;64,14
2243;36,61;3,543;129,71;64,86
2244;36,61;3,543;129,71;64,86
2245;36,61;3,543;129,71;64,86
2246;36,61;3,504;128,28;64,14
2247;36,61;3,543;129,71;64,86
2248;36,61;3,504;128,28;64,14
2249;36,61;3,504;128,28;64,14
2250;36,61;3,543;129,71;64,86
2251;36,61;3,543;129,71;64,86
2252;36,61;3,543;129,71;64,86
2253;36,61;3,465;126,85;63,42
2254;36,61;3,504;128,28;64,14
2255;36,61;3,543;129,71;64,86
2256;36,22;3,583;129,78;64,89
2257;36,61;3,504;128,28;64,14
2258;36,61;3,504;128,28;64,14
2259;36,61;3,504;128,28;64,14
2260;36,61;3,504;128,28;64,14
2261;36,61;3,504;128,28;64,14
2262;36,61;3,504;128,28;64,14
2263;36,61;3,465;126,85;63,42
2264;36,61;3,504;128,28;64,14
2265;36,61;3,543;129,71;64,86
2266;36,61;3,504;128,28;64,14
2267;36,61;3,504;128,28;64,14
2268;36,61;3,543;129,71;64,86
2269;36,61;3,543;129,71;64,86
2270;36,61;3,543;129,71;64,86
2271;36,61;3,543;129,71;64,86
2272;36,61;3,543;129,71;64,86
2273;36,61;3,504;128,28;64,14
2274;36,61;3,543;129,71;64,86
2275;36,61;3,583;131,17;65,58
2276;36,61;3,504;128,28;64,14
2277;36,61;3,543;129,71;64,86
2278;37,01;3,543;131,13;65,56
2279;36,61;3,465;126,85;63,42
2280;36,61;3,583;131,17;65,58
2281;36,61;3,583;131,17;65,58
2282;36,61;3,543;129,71;64,86
2283;37,01;3,543;131,13;65,56
2284;36,61;3,504;128,28;64,14
2285;36,61;3,583;131,17;65,58
2286;36,61;3,583;131,17;65,58
2287;36,61;3,504;128,28;64,14
2288;36,61;3,504;128,28;64,14
2289;36,61;3,504;128,28;64,14
2290;36,61;3,543;129,71;64,86
2291;36,22;3,425;124,05;62,02
2292;36,61;3,543;129,71;64,86
2293;36,61;3,425;125,39;62,7
2294;36,61;3,543;129,71;64,86
2295;36,61;3,543;129,71;64,86
2296;36,61;3,504;128,28;64,14
2297;36,61;3,543;129,71;64,86
2298;36,61;3,543;129,71;64,86
2299;36,61;3,543;129,71;64,86
2300;36,61;3,543;129,71;64,86
2301;36,22;3,701;134,05;67,03
2302;36,61;3,504;128,28;64,14
2303;36,61;3,504;128,28;64,14
2304;36,61;3,543;129,71;64,86
2305;36,61;3,583;131,17;65,58
2306;36,22;3,425;124,05;62,02
2307;36,61;3,504;128,28;64,14
2308;36,61;3,543;129,71;64,86
2309;36,61;3,504;128,28;64,14
2310;36,61;3,504;128,28;64,14
2311;36,22;3,465;125,5;62,75
2312;36,61;3,504;128,28;64,14
2313;36,61;3,543;129,71;64,86
2314;36,61;3,504;128,28;64,14
2315;36,61;3,543;129,71;64,86
2316;36,61;3,583;131,17;65,58
2317;36,22;3,543;128,33;64,17
2318;36,61;3,465;126,85;63,42
2319;36,61;3,543;129,71;64,86
2320;36,61;3,543;129,71;64,86
2321;36,22;3,543;128,33;64,17
2322;36,61;3,543;129,71;64,86
2323;36,61;3,504;128,28;64,14
2324;36,61;3,543;129,71;64,86
2325;36,61;3,583;131,17;65,58
2326;36,22;3,543;128,33;64,17
2327;36,61;3,543;129,71;64,86
2328;36,61;3,504;128,28;64,14
2329;37,01;3,543;131,13;65,56
2330;36,61;3,543;129,71;64,86
2331;36,61;3,583;131,17;65,58
2332;36,61;3,543;129,71;64,86
2333;36,61;3,583;131,17;65,58
2334;36,61;3,543;129,71;64,86
2335;36,61;3,543;129,71;64,86
2336;36,61;3,543;129,71;64,86
2337;36,61;3,543;129,71;64,86
2338;36,61;3,583;131,17;65,58
2339;36,61;3,504;128,28;64,14
2340;36,61;3,543;129,71;64,86
2341;36,61;3,543;129,71;64,86
2342;36,22;3,543;128,33;64,17
2343;36,61;3,504;128,28;64,14
2344;37,01;3,504;129,68;64,84
2345;36,61;3,543;129,71;64,86
2346;36,61;3,543;129,71;64,86
2347;36,22;3,543;128,33;64,17
2348;36,61;3,583;131,17;65,58
2349;36,61;3,543;129,71;64,86
2350;36,61;3,543;129,71;64,86
2351;36,61;3,543;129,71;64,86
2352;36,61;3,543;129,71;64,86
2353;36,61;3,543;129,71;64,86
2354;36,61;3,504;128,28;64,14
2355;37,01;3,543;131,13;65,56
2356;36,61;3,543;129,71;64,86
2357;36,61;3,504;128,28;64,14
2358;36,61;3,504;128,28;64,14
2359;37,01;3,543;131,13;65,56
2360;36,61;3,504;128,28;64,14
2361;36,61;3,583;131,17;65,58
2362;36,61;3,504;128,28;64,14
2363;37,01;3,504;129,68;64,84
2364;36,61;3,504;128,28;64,14
2365;36,61;3,504;128,28;64,14
2366;36,22;3,543;128,33;64,17
2367;36,61;3,543;129,71;64,86
2368;36,61;3,504;128,28;64,14
2369;36,61;3,504;128,28;64,14
2370;36,61;3,543;129,71;64,86
2371;36,61;3,583;131,17;65,58
2372;36,61;3,583;131,17;65,58
2373;36,61;3,543;129,71;64,86
2374;36,61;3,504;128,28;64,14
2375;36,61;3,583;131,17;65,58
2376;36,61;3,583;131,17;65,58
2377;36,61;3,543;129,71;64,86
2378;36,61;3,583;131,17;65,58
2379;36,61;3,543;129,71;64,86
2380;36,61;3,504;128,28;64,14
2381;36,61;3,543;129,71;64,86
2382;36,61;3,543;129,71;64,86
2383;36,61;3,543;129,71;64,86
2384;36,61;3,504;128,28;64,14
2385;36,61;3,543;129,71;64,86
2386;36,61;3,543;129,71;64,86
2387;36,61;3,543;129,71;64,86
2388;36,61;3,543;129,71;64,86
2389;36,61;3,543;129,71;64,86
2390;36,61;3,543;129,71;64,86
2391;36,61;3,543;129,71;64,86
2392;36,61;3,543;129,71;64,86
2393;36,61;3,543;129,71;64,86
2394;36,61;3,543;129,71;64,86
2395;36,61;3,543;129,71;64,86
2396;36,61;3,583;131,17;65,58
2397;36,22;3,583;129,78;64,89
2398;36,61;3,543;129,71;64,86
2399;36,61;3,504;128,28;64,14
2400;36,61;3,543;129,71;64,86
2401;36,22;3,543;128,33;64,17
2402;36,22;3,583;129,78;64,89
2403;36,61;3,543;129,71;64,86
2404;37,01;3,504;129,68;64,84
2405;36,61;3,504;128,28;64,14
2406;36,61;3,543;129,71;64,86
2407;36,61;3,543;129,71;64,86
2408;36,61;3,504;128,28;64,14
2409;37,01;3,504;129,68;64,84
2410;36,61;3,543;129,71;64,86
2411;36,61;3,543;129,71;64,86
2412;36,61;3,583;131,17;65,58
2413;36,61;3,504;128,28;64,14
2414;36,61;3,504;128,28;64,14
2415;36,61;3,543;129,71;64,86
2416;36,61;3,543;129,71;64,86
2417;36,61;3,583;131,17;65,58
2418;36,61;3,543;129,71;64,86
2419;36,61;3,583;131,17;65,58
2420;36,61;3,543;129,71;64,86
2421;36,61;3,543;129,71;64,86
2422;36,61;3,543;129,71;64,86
2423;36,61;3,543;129,71;64,86
2424;36,61;3,543;129,71;64,86
2425;36,61;3,543;129,71;64,86
2426;36,61;3,583;131,17;65,58
2427;36,61;3,583;131,17;65,58
2428;36,61;3,543;129,71;64,86
2429;36,61;3,583;131,17;65,58
2430;36,61;3,543;129,71;64,86
2431;36,61;3,583;131,17;65,58
2432;36,61;3,583;131,17;65,58
2433;36,61;3,543;129,71;64,86
2434;36,61;3,504;128,28;64,14
2435;36,61;3,543;129,71;64,86
2436;36,61;3,622;132,6;66,3
2437;36,22;3,543;128,33;64,17
2438;36,61;3,543;129,71;64,86
2439;36,61;3,504;128,28;64,14
2440;36,61;3,543;129,71;64,86
2441;36,61;3,583;131,17;65,58
2442;36,61;3,583;131,17;65,58
2443;36,61;3,543;129,71;64,86
2444;36,61;3,543;129,71;64,86
2445;36,61;3,543;129,71;64,86
2446;36,61;3,622;132,6;66,3
2447;36,61;3,583;131,17;65,58
2448;36,61;3,543;129,71;64,86
2449;36,61;3,504;128,28;64,14
2450;36,61;3,543;129,71;64,86
2451;36,61;3,583;131,17;65,58
2452;36,61;3,504;128,28;64,14
2453;36,61;3,543;129,71;64,86
2454;37,01;3,543;131,13;65,56
2455;36,61;3,543;129,71;64,86
2456;36,61;3,543;129,71;64,86
2457;36,61;3,543;129,71;64,86
2458;36,61;3,504;128,28;64,14
2459;36,61;3,504;128,28;64,14
2460;36,61;3,504;128,28;64,14
2461;36,61;3,504;128,28;64,14
2462;36,22;3,583;129,78;64,89
2463;36,61;3,543;129,71;64,86
2464;36,61;3,504;128,28;64,14
2465;36,61;3,543;129,71;64,86
2466;36,61;3,543;129,71;64,86
2467;36,22;3,543;128,33;64,17
2468;34,65;1,811;62,75;31,38
2469;32,28;1,102;35,57;17,78
2470;31,1;0,866;26,93;13,46
2471;27,95;1,614;45,11;22,56
2472;25,59;1,299;33,24;16,62
2473;24,41;1,339;32,68;16,34
2474;21,65;1,693;36,65;18,32
2475;19,69;1,457;28,69;14,34
2476;18,5;1,693;31,32;15,66
2477;16,54;1,85;30,6;15,3
2478;16,14;1,693;27,33;13,66
2479;14,57;1,929;28,11;14,06
2480;12,99;1,929;25,06;12,53
2481;12,2;1,969;24,02;12,01
2482;11,42;2,126;24,28;12,14
2483;10,24;1,929;19,75;9,88
2484;9,84;2,008;19,76;9,88
2485;9,06;2,165;19,61;9,8
2486;7,87;2,283;17,97;8,98
2487;6,69;2,205;14,75;7,38
2488;6,69;2,165;14,48;7,24
2489;5,91;2,205;13,03;6,52
2490;5,12;2,126;10,89;5,44
2491;3,94;2,165;8,53;4,26
2492;3,54;2,244;7,94;3,97
2493;3,15;2,126;6,7;3,35
2494;2,76;2,165;5,98;2,99
2495;1,97;2,165;4,27;2,13
2496;1,18;2,244;2,65;1,32
2497;0,39;2,323;0,91;0,46
2498;0,39;2,283;0,89;0,44
2499;0;2,244;0;0
2500;-0,39;2,283;-0,89;-0,44
2501;-1,18;2,323;-2,74;-1,37
2502;-1,97;2,362;-4,65;-2,33
2503;-1,97;2,402;-4,73;-2,37
2504;-2,36;2,323;-5,48;-2,74
2505;-2,76;2,402;-6,63;-3,32
2506;-3,15;2,441;-7,69;-3,84
2507;-3,54;2,48;-8,78;-4,39
2508;-3,94;2,48;-9,77;-4,88
2509;-3,94;2,441;-9,62;-4,81
2510;-3,94;2,441;-9,62;-4,81
2511;-4,72;2,402;-11,34;-5,67
2512;-5,12;2,48;-12,7;-6,35
2513;-5,51;2,441;-13,45;-6,72
2514;-5,51;2,402;-13,24;-6,62
2515;-5,51;2,441;-13,45;-6,72
2516;-5,91;2,48;-14,66;-7,33
2517;-6,3;2,48;-15,62;-7,81
2518;-6,3;2,48;-15,62;-7,81
2519;-6,3;2,48;-15,62;-7,81
2520;-6,69;2,48;-16,59;-8,3
2521;-7,09;2,52;-17,87;-8,94
2522;-7,09;2,48;-17,58;-8,79
2523;-7,48;2,48;-18,55;-9,28
2524;-7,09;2,48;-17,58;-8,79
2525;-7,09;2,48;-17,58;-8,79
2526;-7,48;2,52;-18,85;-9,43
2527;-7,87;2,598;-20,45;-10,22
2528;-7,87;2,559;-20,14;-10,07
2529;-7,87;2,52;-19,83;-9,91
2530;-8,27;2,52;-20,84;-10,42
2531;-8,27;2,559;-21,16;-10,58
2532;-8,66;2,559;-22,16;-11,08
2533;-8,66;2,559;-22,16;-11,08
2534;-8,66;2,559;-22,16;-11,08
2535;-8,66;2,559;-22,16;-11,08
2536;-9,06;2,559;-23,18;-11,59
2537;-9,06;2,598;-23,54;-11,77
2538;-9,06;2,559;-23,18;-11,59
2539;-9,06;2,559;-23,18;-11,59
2540;-9,06;2,48;-22,47;-11,24
2541;-9,06;2,559;-23,18;-11,59
2542;-9,45;2,598;-24,55;-12,28
2543;-9,45;2,598;-24,55;-12,28
2544;-9,06;2,559;-23,18;-11,59
2545;-9,06;2,559;-23,18;-11,59
2546;-9,45;2,598;-24,55;-12,28
2547;-9,84;2,598;-25,56;-12,78
2548;-9,84;2,598;-25,56;-12,78
2549;-9,84;2,598;-25,56;-12,78
2550;-9,45;2,559;-24,18;-12,09
2551;-9,84;2,638;-25,96;-12,98
2552;-9,84;2,638;-25,96;-12,98
2553;-9,84;2,598;-25,56;-12,78
2554;-9,84;2,559;-25,18;-12,59
2555;-9,84;2,559;-25,18;-12,59
2556;-9,84;2,598;-25,56;-12,78
2557;-10,24;2,638;-27,01;-13,5
2558;-10,24;2,598;-26,6;-13,3
2559;-9,84;2,559;-25,18;-12,59
2560;-9,84;2,559;-25,18;-12,59
2561;-10,24;2,598;-26,6;-13,3
2562;-10,63;2,638;-28,04;-14,02
2563;-10,24;2,638;-27,01;-13,5
2564;-10,63;2,559;-27,2;-13,6
2565;-10,24;2,598;-26,6;-13,3
2566;-10,24;2,598;-26,6;-13,3
2567;-10,63;2,638;-28,04;-14,02
2568;-10,63;2,638;-28,04;-14,02
2569;-10,24;2,598;-26,6;-13,3
2570;-10,24;2,598;-26,6;-13,3
2571;-10,24;2,638;-27,01;-13,5
2572;-10,63;2,638;-28,04;-14,02
2573;-10,63;2,638;-28,04;-14,02
2574;-10,63;2,598;-27,62;-13,81
2575;-10,63;2,638;-28,04;-14,02
2576;-10,63;2,638;-28,04;-14,02
2577;-10,63;2,638;-28,04;-14,02
2578;-10,63;2,638;-28,04;-14,02
2579;-10,63;2,638;-28,04;-14,02
2580;-10,63;2,598;-27,62;-13,81
2581;-10,63;2,638;-28,04;-14,02
2582;-10,63;2,638;-28,04;-14,02
2583;-10,63;2,638;-28,04;-14,02
2584;-10,63;2,598;-27,62;-13,81
2585;-10,63;2,598;-27,62;-13,81
2586;-10,63;2,598;-27,62;-13,81
2587;-11,42;2,638;-30,13;-15,06
2588;-11,02;2,638;-29,07;-14,54
2589;-10,63;2,638;-28,04;-14,02
2590;-10,63;2,638;-28,04;-14,02
2591;-11,02;2,638;-29,07;-14,54
2592;-11,42;2,638;-30,13;-15,06
2593;-11,02;2,638;-29,07;-14,54
2594;-10,63;2,598;-27,62;-13,81
2595;-10,63;2,598;-27,62;-13,81
2596;-11,02;2,638;-29,07;-14,54
2597;-11,02;2,638;-29,07;-14,54
2598;-11,02;2,638;-29,07;-14,54
2599;-10,63;2,638;-28,04;-14,02
2600;-10,63;2,598;-27,62;-13,81
2601;-10,63;2,638;-28,04;-14,02
2602;-11,42;2,638;-30,13;-15,06
2603;-11,02;2,638;-29,07;-14,54
2604;-10,63;2,598;-27,62;-13,81
2605;-10,63;2,598;-27,62;-13,81
2606;-11,02;2,638;-29,07;-14,54
2607;-11,42;2,638;-30,13;-15,06
2608;-11,02;2,638;-29,07;-14,54
2609;-11,02;2,638;-29,07;-14,54
2610;-10,63;2,638;-28,04;-14,02
2611;-10,63;2,638;-28,04;-14,02
2612;-11,42;2,638;-30,13;-15,06
2613;-11,42;2,638;-30,13;-15,06
2614;-11,02;2,638;-29,07;-14,54
2615;-10,63;2,598;-27,62;-13,81
2616;-11,02;2,638;-29,07;-14,54
2617;-11,42;2,638;-30,13;-15,06
2618;-11,42;2,638;-30,13;-15,06
2619;-11,02;2,638;-29,07;-14,54
2620;-11,02;2,598;-28,63;-14,32
2621;-11,02;2,638;-29,07;-14,54
2622;-11,42;2,638;-30,13;-15,06
2623;-11,42;2,638;-30,13;-15,06
2624;-11,02;2,598;-28,63;-14,32
2625;-10,63;2,598;-27,62;-13,81
2626;-11,02;2,638;-29,07;-14,54
2627;-11,42;2,677;-30,57;-15,28
2628;-11,42;2,638;-30,13;-15,06
2629;-11,02;2,638;-29,07;-14,54
2630;-11,02;2,638;-29,07;-14,54
2631;-11,42;2,638;-30,13;-15,06
2632;-11,42;2,638;-30,13;-15,06
2633;-11,42;2,638;-30,13;-15,06
2634;-11,42;2,598;-29,67;-14,84
2635;-11,02;2,638;-29,07;-14,54
2636;-11,42;2,638;-30,13;-15,06
2637;-11,81;2,638;-31,15;-15,58
2638;-11,81;2,638;-31,15;-15,58
2639;-11,42;2,638;-30,13;-15,06
2640;-11,02;2,598;-28,63;-14,32
2641;-11,02;2,598;-28,63;-14,32
2642;-11,42;2,638;-30,13;-15,06
2643;-11,81;2,638;-31,15;-15,58
2644;-11,02;2,638;-29,07;-14,54
2645;-11,02;2,638;-29,07;-14,54
2646;-11,42;2,638;-30,13;-15,06
2647;-11,42;2,638;-30,13;-15,06
2648;-11,81;2,638;-31,15;-15,58
2649;-11,42;2,638;-30,13;-15,06
2650;-11,02;2,598;-28,63;-14,32
2651;-11,42;2,638;-30,13;-15,06
2652;-11,81;2,638;-31,15;-15,58
2653;-11,81;2,638;-31,15;-15,58
2654;-11,42;2,598;-29,67;-14,84
2655;-11,02;2,598;-28,63;-14,32
2656;-11,02;2,559;-28,2;-14,1
2657;-11,42;2,638;-30,13;-15,06
2658;-11,42;2,638;-30,13;-15,06
2659;-11,42;2,598;-29,67;-14,84
2660;-11,42;2,559;-29,22;-14,61
2661;-11,42;2,638;-30,13;-15,06
2662;-11,42;2,638;-30,13;-15,06
2663;-11,81;2,638;-31,15;-15,58
2664;-11,42;2,638;-30,13;-15,06
2665;-11,02;2,598;-28,63;-14,32
2666;-11,42;2,638;-30,13;-15,06
2667;-11,81;2,638;-31,15;-15,58
2668;-11,81;2,638;-31,15;-15,58
2669;-11,81;2,638;-31,15;-15,58
2670;-11,02;2,598;-28,63;-14,32
2671;-11,42;2,638;-30,13;-15,06
2672;-11,81;2,638;-31,15;-15,58
2673;-11,81;2,677;-31,62;-15,81
2674;-11,42;2,638;-30,13;-15,06
2675;-11,02;2,598;-28,63;-14,32
2676;-11,42;2,638;-30,13;-15,06
2677;-11,81;2,638;-31,15;-15,58
2678;-11,81;2,677;-31,62;-15,81
2679;-11,42;2,638;-30,13;-15,06
2680;-11,02;2,638;-29,07;-14,54
2681;-11,42;2,638;-30,13;-15,06
2682;-11,81;2,638;-31,15;-15,58
2683;-11,81;2,638;-31,15;-15,58
2684;-11,42;2,638;-30,13;-15,06
2685;-11,02;2,598;-28,63;-14,32
2686;-11,42;2,638;-30,13;-15,06
2687;-11,81;2,638;-31,15;-15,58
2688;-11,81;2,638;-31,15;-15,58
2689;-11,42;2,598;-29,67;-14,84
2690;-11,42;2,598;-29,67;-14,84
2691;-11,42;2,638;-30,13;-15,06
2692;-11,81;2,638;-31,15;-15,58
2693;-11,81;2,638;-31,15;-15,58
2694;-11,81;2,598;-30,68;-15,34
2695;-11,02;2,598;-28,63;-14,32
2696;-11,42;2,638;-30,13;-15,06
2697;-11,81;2,638;-31,15;-15,58
2698;-11,81;2,717;-32,09;-16,05
2699;-11,42;2,638;-30,13;-15,06
2700;-11,42;2,598;-29,67;-14,84
2701;-11,81;2,638;-31,15;-15,58
2702;-11,81;2,638;-31,15;-15,58
2703;-11,81;2,638;-31,15;-15,58
2704;-11,81;2,598;-30,68;-15,34
2705;-11,02;2,598;-28,63;-14,32
2706;-11,42;2,638;-30,13;-15,06
2707;-11,81;2,638;-31,15;-15,58
2708;-11,81;2,638;-31,15;-15,58
2709;-11,81;2,598;-30,68;-15,34
2710;-11,02;2,559;-28,2;-14,1
2711;-11,42;2,598;-29,67;-14,84
2712;-11,81;2,638;-31,15;-15,58
2713;-11,81;2,638;-31,15;-15,58
2714;-11,81;2,598;-30,68;-15,34
2715;-11,42;2,559;-29,22;-14,61
2716;-11,42;2,638;-30,13;-15,06
2717;-11,81;2,638;-31,15;-15,58
2718;-12,2;2,677;-32,66;-16,33
2719;-11,81;2,638;-31,15;-15,58
2720;-11,42;2,559;-29,22;-14,61
2721;-11,81;2,638;-31,15;-15,58
2722;-11,81;2,638;-31,15;-15,58
2723;-11,81;2,638;-31,15;-15,58
2724;-11,81;2,598;-30,68;-15,34
2725;-11,42;2,598;-29,67;-14,84
2726;-11,42;2,638;-30,13;-15,06
2727;-11,81;2,638;-31,15;-15,58
2728;-11,81;2,638;-31,15;-15,58
2729;-11,81;2,638;-31,15;-15,58
2730;-11,42;2,598;-29,67;-14,84
